Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Exfoliator,La Roche-Posay,Intense Exfoliating Scrub,79,4.2,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,0,0,0,0
Cleanser,Bulldog,Pure Gentle Wash,271,3.4,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,0,0
Night Cream,Neutrogena,Advanced Restorative Night Cream,15,0.8,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,1,1,1
Eye Cream,The Ordinary,Deep Anti-Aging Eye Cream,41,4.4,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,0,1,0
Exfoliator,CeraVe,Advanced Enzyme Peel,272,1.4,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,1,0
Face Mask,Dermalogica,Advanced Sheet Mask,114,2.9,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,0,1,1,0
Treatment,Weleda,Radiance Blemish Treatment,244,0.5,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.*,1,1,0,0,1
Face Mask,Bulldog,Intense Peel-off Mask,98,0.1,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,1,0,1,0
Treatment,Avène,Daily Blemish Treatment,81,3.6,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,0,1,0,1
Sunscreen,COSRX,Intense UV Defense Milk,38,3.2,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,0,0,0,1
